[10:12:55] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[10:14:20] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:14:20] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:14:20] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[10:14:20] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[10:14:20] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:14:20] [main/INFO]: Reloading ResourceManager: Default
[10:14:24] [Worker-Main-4/INFO]: Loaded 7 recipes
[10:14:25] [Worker-Main-4/INFO]: Loaded 1137 advancements
[10:15:43] [Server thread/INFO]: Starting minecraft server version 1.17.1
[10:15:43] [Server thread/INFO]: Loading properties
[10:15:43] [Server thread/INFO]: Default game type: SURVIVAL
[10:15:43] [Server thread/INFO]: Generating keypair
[10:15:43] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: Identificador inválido
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:271) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:282) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:343) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:297) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:339) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:188) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:178) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:161) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:329) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:396) ~[?:?]
	at aas$1.run(SourceFile:101) [server.jar:?]
[10:15:44] [Server thread/INFO]: Starting Minecraft server on 26.45.19.244:25565
[10:15:46] [Server thread/INFO]: Using default channel type
[10:16:00] [Server thread/INFO]: Preparing level "world"
[10:16:34] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:34] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:34] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:34] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:35] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:35] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:36] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:36] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:37] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:37] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:38] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:38] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:39] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:39] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:40] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:40] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:41] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:41] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:42] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:42] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:43] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:43] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:44] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:44] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:45] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:45] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[10:16:46] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[10:16:46] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[10:16:47] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[10:16:47] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[10:16:48] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[10:16:48] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[10:16:49] [Worker-Main-7/INFO]: Preparing spawn area: 2%
[10:16:49] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[10:16:50] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[10:16:50] [Worker-Main-6/INFO]: Preparing spawn area: 3%
[10:16:51] [Worker-Main-7/INFO]: Preparing spawn area: 3%
[10:16:51] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:16:52] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:16:52] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:16:53] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:16:53] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:16:54] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:16:54] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:16:55] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:16:55] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:16:56] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:16:56] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:16:57] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:16:57] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[10:16:58] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:16:58] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:16:59] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:16:59] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:17:00] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:17:00] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[10:17:01] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[10:17:01] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:17:02] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[10:17:02] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:17:03] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:17:03] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:17:04] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[10:17:04] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:17:05] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:17:05] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:17:06] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[10:17:06] [Worker-Main-5/INFO]: Preparing spawn area: 5%
[10:17:07] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[10:17:07] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[10:17:08] [Worker-Main-5/INFO]: Preparing spawn area: 5%
[10:17:08] [Worker-Main-5/INFO]: Preparing spawn area: 6%
[10:17:09] [Worker-Main-6/INFO]: Preparing spawn area: 6%
[10:17:09] [Worker-Main-6/INFO]: Preparing spawn area: 6%
[10:17:10] [Worker-Main-5/INFO]: Preparing spawn area: 7%
[10:17:10] [Worker-Main-7/INFO]: Preparing spawn area: 8%
[10:17:11] [Worker-Main-5/INFO]: Preparing spawn area: 8%
[10:17:11] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[10:17:12] [Worker-Main-7/INFO]: Preparing spawn area: 10%
[10:17:12] [Worker-Main-6/INFO]: Preparing spawn area: 10%
[10:17:13] [Worker-Main-5/INFO]: Preparing spawn area: 11%
[10:17:13] [Worker-Main-5/INFO]: Preparing spawn area: 12%
[10:17:14] [Worker-Main-5/INFO]: Preparing spawn area: 14%
[10:17:14] [Worker-Main-6/INFO]: Preparing spawn area: 16%
[10:17:15] [Worker-Main-5/INFO]: Preparing spawn area: 18%
[10:17:15] [Worker-Main-6/INFO]: Preparing spawn area: 20%
[10:17:16] [Worker-Main-7/INFO]: Preparing spawn area: 23%
[10:17:16] [Worker-Main-7/INFO]: Preparing spawn area: 24%
[10:17:17] [Worker-Main-5/INFO]: Preparing spawn area: 24%
[10:17:17] [Worker-Main-5/INFO]: Preparing spawn area: 24%
[10:17:18] [Worker-Main-5/INFO]: Preparing spawn area: 24%
[10:17:18] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[10:17:19] [Worker-Main-7/INFO]: Preparing spawn area: 24%
[10:17:19] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[10:17:20] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[10:17:20] [Worker-Main-5/INFO]: Preparing spawn area: 24%
[10:17:21] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[10:17:21] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[10:17:22] [Worker-Main-5/INFO]: Preparing spawn area: 24%
[10:17:22] [Worker-Main-5/INFO]: Preparing spawn area: 26%
[10:17:23] [Worker-Main-5/INFO]: Preparing spawn area: 26%
[10:17:23] [Worker-Main-6/INFO]: Preparing spawn area: 26%
[10:17:24] [Worker-Main-5/INFO]: Preparing spawn area: 29%
[10:17:24] [Worker-Main-5/INFO]: Preparing spawn area: 29%
[10:17:25] [Worker-Main-6/INFO]: Preparing spawn area: 29%
[10:17:25] [Worker-Main-5/INFO]: Preparing spawn area: 32%
[10:17:26] [Worker-Main-5/INFO]: Preparing spawn area: 33%
[10:17:26] [Worker-Main-6/INFO]: Preparing spawn area: 35%
[10:17:27] [Worker-Main-7/INFO]: Preparing spawn area: 35%
[10:17:27] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[10:17:28] [Worker-Main-6/INFO]: Preparing spawn area: 36%
[10:17:28] [Worker-Main-5/INFO]: Preparing spawn area: 37%
[10:17:29] [Worker-Main-7/INFO]: Preparing spawn area: 38%
[10:17:29] [Worker-Main-7/INFO]: Preparing spawn area: 40%
[10:17:30] [Worker-Main-7/INFO]: Preparing spawn area: 41%
[10:17:30] [Worker-Main-6/INFO]: Preparing spawn area: 41%
[10:17:31] [Worker-Main-7/INFO]: Preparing spawn area: 41%
[10:17:31] [Worker-Main-6/INFO]: Preparing spawn area: 41%
[10:17:32] [Worker-Main-5/INFO]: Preparing spawn area: 41%
[10:17:32] [Worker-Main-7/INFO]: Preparing spawn area: 42%
[10:17:33] [Worker-Main-5/INFO]: Preparing spawn area: 42%
[10:17:33] [Worker-Main-5/INFO]: Preparing spawn area: 43%
[10:17:34] [Worker-Main-6/INFO]: Preparing spawn area: 44%
[10:17:34] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:17:35] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:17:35] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:17:36] [Worker-Main-7/INFO]: Preparing spawn area: 44%
[10:17:36] [Worker-Main-6/INFO]: Preparing spawn area: 44%
[10:17:37] [Worker-Main-6/INFO]: Preparing spawn area: 55%
[10:17:37] [Worker-Main-7/INFO]: Preparing spawn area: 56%
[10:17:38] [Worker-Main-6/INFO]: Preparing spawn area: 56%
[10:17:38] [Worker-Main-5/INFO]: Preparing spawn area: 58%
[10:17:39] [Worker-Main-5/INFO]: Preparing spawn area: 59%
[10:17:39] [Worker-Main-7/INFO]: Preparing spawn area: 62%
[10:17:40] [Worker-Main-7/INFO]: Preparing spawn area: 62%
[10:17:40] [Worker-Main-5/INFO]: Preparing spawn area: 62%
[10:17:41] [Worker-Main-7/INFO]: Preparing spawn area: 62%
[10:17:41] [Worker-Main-6/INFO]: Preparing spawn area: 62%
[10:17:42] [Worker-Main-6/INFO]: Preparing spawn area: 64%
[10:17:42] [Worker-Main-5/INFO]: Preparing spawn area: 66%
[10:17:43] [Worker-Main-7/INFO]: Preparing spawn area: 66%
[10:17:43] [Worker-Main-6/INFO]: Preparing spawn area: 68%
[10:17:44] [Worker-Main-6/INFO]: Preparing spawn area: 68%
[10:17:44] [Worker-Main-7/INFO]: Preparing spawn area: 68%
[10:17:45] [Worker-Main-6/INFO]: Preparing spawn area: 70%
[10:17:45] [Worker-Main-7/INFO]: Preparing spawn area: 70%
[10:17:46] [Worker-Main-5/INFO]: Preparing spawn area: 70%
[10:17:46] [Worker-Main-7/INFO]: Preparing spawn area: 70%
[10:17:47] [Worker-Main-6/INFO]: Preparing spawn area: 73%
[10:17:47] [Worker-Main-7/INFO]: Preparing spawn area: 74%
[10:17:48] [Worker-Main-7/INFO]: Preparing spawn area: 75%
[10:17:48] [Worker-Main-5/INFO]: Preparing spawn area: 75%
[10:17:49] [Worker-Main-5/INFO]: Preparing spawn area: 77%
[10:17:49] [Worker-Main-7/INFO]: Preparing spawn area: 79%
[10:17:50] [Worker-Main-7/INFO]: Preparing spawn area: 82%
[10:17:50] [Worker-Main-6/INFO]: Preparing spawn area: 84%
[10:17:51] [Worker-Main-6/INFO]: Preparing spawn area: 86%
[10:17:51] [Worker-Main-5/INFO]: Preparing spawn area: 87%
[10:17:52] [Worker-Main-7/INFO]: Preparing spawn area: 89%
[10:17:52] [Worker-Main-7/INFO]: Preparing spawn area: 91%
[10:17:53] [Worker-Main-7/INFO]: Preparing spawn area: 92%
[10:17:53] [Worker-Main-5/INFO]: Preparing spawn area: 92%
[10:17:54] [Worker-Main-5/INFO]: Preparing spawn area: 94%
[10:17:54] [Worker-Main-5/INFO]: Preparing spawn area: 95%
[10:17:55] [Worker-Main-6/INFO]: Preparing spawn area: 96%
[10:17:55] [Worker-Main-6/INFO]: Preparing spawn area: 98%
[10:17:56] [Worker-Main-7/INFO]: Preparing spawn area: 99%
[10:17:56] [Server thread/INFO]: Time elapsed: 113594 ms
[10:17:56] [Server thread/INFO]: Done (116.728s)! For help, type "help"
[10:18:00] [Server thread/INFO]: Stopping server
[10:18:00] [Server thread/INFO]: Saving players
[10:18:00] [Server thread/INFO]: Saving worlds
[10:18:00] [Server thread/INFO]: Saving chunks for level 'ServerLevel[k]'/minecraft:overworld
